"ICD10","ICD10Descr"
"C3480","Malignant neoplasm of ovrlp sites of unsp bronchus and lung"
"C9000","Multiple myeloma not having achieved remission"
"C7490","Malignant neoplasm of unsp part of unspecified adrenal gland"
"C8225","Foliclar lymph grade III, unsp, nodes of ing rgn and low lmb"
"C58","Malignant neoplasm of placenta"
"C50029","Malignant neoplasm of nipple and areola, unsp male breast"
"C8499","Mature T/NK-cell lymph, unsp, extrnod and solid organ sites"
"C9332","Juvenile myelomonocytic leukemia, in relapse"
"C8236","Follicular lymphoma grade IIIa, intrapelvic lymph nodes"
"C8192","Hodgkin lymphoma, unspecified, intrathoracic lymph nodes"
"C511","Malignant neoplasm of labium minus"
"C8388","Other non-follicular lymphoma, lymph nodes of multiple sites"
"C4020","Malignant neoplasm of long bones of unspecified lower limb"
"C8407","Mycosis fungoides, spleen"
"C884","Extrnod mrgnl zn B-cell lymph of mucosa-assoc lymphoid tiss"
"C3412","Malignant neoplasm of upper lobe, left bronchus or lung"
"C109","Malignant neoplasm of oropharynx, unspecified"
"C414","Malignant neoplasm of pelvic bones, sacrum and coccyx"
"C50312","Malig neoplasm of lower-inner quadrant of left female breast"
"C4711","Malig neoplm of prph nerves of right upper limb, inc shldr"
"C96Z","Oth malig neoplm of lymphoid, hematpoetc and related tissue"
"C9441","Acute panmyelosis with myelofibrosis, in remission"
"C8591","Non-Hodgkin lymphoma, unsp, nodes of head, face, and neck"
"C8401","Mycosis fungoides, lymph nodes of head, face, and neck"
"C409","Malignant neoplasm of unsp bones and artic cartilage of limb"
"C762","Malignant neoplasm of abdomen"
"C8136","Lymphocy depleted class Hodgkin lymphoma, intrapelv nodes"
"C72","Malig neoplm of spinal cord, cranial nerves and oth prt cnsl"
"C131","Malig neoplasm of aryepiglottic fold, hypopharyngeal aspect"
"C8495","Mature T/NK-cell lymph, unsp, nodes of ing rgn and low limb"
"C8216","Follicular lymphoma grade II, intrapelvic lymph nodes"
"C92A","Acute myeloid leukemia with multilineage dysplasia"
"C493","Malignant neoplasm of connective and soft tissue of thorax"
"C6910","Malignant neoplasm of unspecified cornea"
"C258","Malignant neoplasm of overlapping sites of pancreas"
"C8200","Follicular lymphoma grade I, unspecified site"
"C543","Malignant neoplasm of fundus uteri"
"C901","Plasma cell leukemia"
"C381","Malignant neoplasm of anterior mediastinum"
"C139","Malignant neoplasm of hypopharynx, unspecified"
"C8469","Anaplstc lg cell lymph, ALK-pos, extrnod and solid org sites"
"C7652","Malignant neoplasm of left lower limb"
"C944","Acute panmyelosis with myelofibrosis"
"C3410","Malignant neoplasm of upper lobe, unsp bronchus or lung"
"C132","Malignant neoplasm of posterior wall of hypopharynx"
"C549","Malignant neoplasm of corpus uteri, unspecified"
"C8492","Mature T/NK-cell lymphomas, unsp, intrathoracic lymph nodes"
"C8599","Non-Hodgkin lymphoma, unsp, extranodal and solid organ sites"
"C8491","Mature T/NK-cell lymph, unsp, nodes of head, face, and neck"
"C8206","Follicular lymphoma grade I, intrapelvic lymph nodes"
"C8524","Mediastnl large B-cell lymph, nodes of axilla and upper limb"
"C6981","Malignant neoplasm of ovrlp sites of right eye and adnexa"
"C8257","Diffuse follicle center lymphoma, spleen"
"C7641","Malignant neoplasm of right upper limb"
"C348","Malignant neoplasm of overlapping sites of bronchus and lung"
"C8301","Small cell B-cell lymphoma, nodes of head, face, and neck"
"C50911","Malignant neoplasm of unsp site of right female breast"
"C490","Malig neoplm of conn and soft tissue of head, face and neck"
"C9132","Prolymphocytic leukemia of B-cell type, in relapse"
"C8585","Oth types of non-hodg lymph, nodes of ing rgn and lower limb"
"C8313","Mantle cell lymphoma, intra-abdominal lymph nodes"
"C024","Malignant neoplasm of lingual tonsil"
"C142","Malignant neoplasm of Waldeyer's ring"
"C920","Acute myeloblastic leukemia"
"C531","Malignant neoplasm of exocervix"
"C4651","Kaposi's sarcoma of right lung"
"C8526","Mediastinal (thymic) large B-cell lymphoma, intrapelv nodes"
"C8219","Follicular lymphoma grade II, extrnod and solid organ sites"
"C61","Malignant neoplasm of prostate"
"C9500","Acute leukemia of unsp cell type not achieve remission"
"C8411","Sezary disease, lymph nodes of head, face, and neck"
"C8497","Mature T/NK-cell lymphomas, unspecified, spleen"
"C221","Intrahepatic bile duct carcinoma"
"C8268","Cutaneous follicle center lymphoma, lymph nodes mult site"
"C4721","Malig neoplasm of prph nerves of right lower limb, inc hip"
"C476","Malignant neoplasm of peripheral nerves of trunk, unsp"
"C824","Follicular lymphoma grade IIIb"
"C9240","Acute promyelocytic leukemia, not having achieved remission"
"C8247","Follicular lymphoma grade IIIb, spleen"
"C753","Malignant neoplasm of pineal gland"
"C8281","Oth types of foliclar lymph, nodes of head, face, and neck"
"C914","Hairy cell leukemia"
"C8517","Unspecified B-cell lymphoma, spleen"
"C8229","Foliclar lymph grade III, unsp, extrnod and solid org sites"
"C8312","Mantle cell lymphoma, intrathoracic lymph nodes"
"C8109","Nodlr lymphocy predom Hdgkn lymph, extrnod & solid org site"
"C01","Malignant neoplasm of base of tongue"
"C4362","Malignant melanoma of left upper limb, including shoulder"
"C8309","Small cell B-cell lymphoma, extranodal and solid organ sites"
"C8232","Follicular lymphoma grade IIIa, intrathoracic lymph nodes"
"C510","Malignant neoplasm of labium majus"
"C679","Malignant neoplasm of bladder, unspecified"
"C9331","Juvenile myelomonocytic leukemia, in remission"
"C218","Malig neoplasm of ovrlp sites of rectum, anus and anal canal"
"C8289","Oth types of foliclar lymph, extrnod and solid organ sites"
"C8101","Nodlr lymphocy predom Hdgkn lymph, nodes of head, face, & nk"
"C695","Malignant neoplasm of lacrimal gland and duct"
"C548","Malignant neoplasm of overlapping sites of corpus uteri"
"C659","Malignant neoplasm of unspecified renal pelvis"
"C759","Malignant neoplasm of endocrine gland, unspecified"
"C629","Malignant neoplasm of testis, unsp descended or undescended"
"C8467","Anaplastic large cell lymphoma, ALK-positive, spleen"
"C9021","Extramedullary plasmacytoma in remission"
"C690","Malignant neoplasm of conjunctiva"
"C31","Malignant neoplasm of accessory sinuses"
"C8106","Nodular lymphocyte predom Hodgkin lymphoma, intrapelv nodes"
"C452","Mesothelioma of pericardium"
"C8334","Diffuse large B-cell lymph, nodes of axilla and upper limb"
"C844","Peripheral T-cell lymphoma, not classified"
"C6990","Malignant neoplasm of unspecified site of unspecified eye"
"C8587","Other specified types of non-Hodgkin lymphoma, spleen"
"C8228","Follicular lymphoma grade III, unsp, lymph nodes mult site"
"C50429","Malig neoplasm of upper-outer quadrant of unsp male breast"
"C503","Malignant neoplasm of lower-inner quadrant of breast"
"C5711","Malignant neoplasm of right broad ligament"
"C688","Malignant neoplasm of overlapping sites of urinary organs"
"C9392","Monocytic leukemia, unspecified in relapse"
"C8378","Burkitt lymphoma, lymph nodes of multiple sites"
"C041","Malignant neoplasm of lateral floor of mouth"
"C8263","Cutaneous follicle center lymphoma, intra-abd lymph nodes"
"C9420","Acute megakaryoblastic leukemia not achieve remission"
"C50411","Malig neoplm of upper-outer quadrant of right female breast"
"C50221","Malig neoplasm of upper-inner quadrant of right male breast"
"C9190","Lymphoid leukemia, unspecified not having achieved remission"
"C8462","Anaplastic large cell lymphoma, ALK-pos, intrathorac nodes"
"C9011","Plasma cell leukemia in remission"
"C8267","Cutaneous follicle center lymphoma, spleen"
"C031","Malignant neoplasm of lower gum"
"C9200","Acute myeloblastic leukemia, not having achieved remission"
"C8253","Diffuse follicle center lymphoma, intra-abd lymph nodes"
"C8413","Sezary disease, intra-abdominal lymph nodes"
"C50629","Malignant neoplasm of axillary tail of unsp male breast"
"C943","Mast cell leukemia"
"C8444","Prph T-cell lymph, not class, nodes of axilla and upper limb"
"C8318","Mantle cell lymphoma, lymph nodes of multiple sites"
"C675","Malignant neoplasm of bladder neck"
"C9481","Other specified leukemias, in remission"
"C50129","Malignant neoplasm of central portion of unsp male breast"
"C50829","Malignant neoplasm of overlapping sites of unsp male breast"
"C8593","Non-Hodgkin lymphoma, unsp, intra-abdominal lymph nodes"
"C9202","Acute myeloblastic leukemia, in relapse"
"C8290","Follicular lymphoma, unspecified, unspecified site"
"C91","Lymphoid leukemia"
"C8296","Follicular lymphoma, unspecified, intrapelvic lymph nodes"
"C741","Malignant neoplasm of medulla of adrenal gland"
"C5012","Malignant neoplasm of central portion of breast, male"
"C50621","Malignant neoplasm of axillary tail of right male breast"
"C689","Malignant neoplasm of urinary organ, unspecified"
"C4320","Malignant melanoma of unsp ear and external auricular canal"
"C84A5","Cutan T-cell lymph, unsp, nodes of ing region and lower limb"
"C254","Malignant neoplasm of endocrine pancreas"
"C9391","Monocytic leukemia, unspecified in remission"
"C931","Chronic myelomonocytic leukemia"
"C8460","Anaplastic large cell lymphoma, ALK-positive, unsp site"
"C638","Malignant neoplasm of ovrlp sites of male genital organs"
"C47","Malignant neoplasm of prph nerves and autonomic nervous sys"
"C9311","Chronic myelomonocytic leukemia, in remission"
"C84A3","Cutaneous T-cell lymphoma, unsp, intra-abdominal lymph nodes"
"C9422","Acute megakaryoblastic leukemia, in relapse"
"C008","Malignant neoplasm of overlapping sites of lip"
"C4710","Malig neoplm of prph nerves of unsp upper limb, inc shoulder"
"C464","Kaposi's sarcoma of gastrointestinal sites"
"C401","Malignant neoplasm of short bones of upper limb"
"C819","Hodgkin lymphoma, unspecified"
"C8529","Mediastnl large B-cell lymph, extrnod and solid organ sites"
"C84Z","Other mature T/NK-cell lymphomas"
"C680","Malignant neoplasm of urethra"
"C6911","Malignant neoplasm of right cornea"
"C530","Malignant neoplasm of endocervix"
"C9302","Acute monoblastic/monocytic leukemia, in relapse"
"C930","Acute monoblastic/monocytic leukemia"
"C826","Cutaneous follicle center lymphoma"
"C8353","Lymphoblastic (diffuse) lymphoma, intra-abd lymph nodes"
"C8139","Lymphocy deplet class Hdgkn lymph, extrnod & solid org site"
"C430","Malignant melanoma of lip"
"C76","Malignant neoplasm of other and ill-defined sites"
"C812","Mixed cellularity classical Hodgkin lymphoma"
"C9310","Chronic myelomonocytic leukemia not achieve remission"
"C8590","Non-Hodgkin lymphoma, unspecified, unspecified site"
"C8475","Anaplstc lg cell lymph, ALK-neg, nodes of ing rgn & low lmb"
"C50311","Malig neoplm of lower-inner quadrant of right female breast"
"C574","Malignant neoplasm of uterine adnexa, unspecified"
"C154","Malignant neoplasm of middle third of esophagus"
"C8233","Follicular lymphoma grade IIIa, intra-abdominal lymph nodes"
"C768","Malignant neoplasm of other specified ill-defined sites"
"C5011","Malignant neoplasm of central portion of breast, female"
"C8511","Unsp B-cell lymphoma, lymph nodes of head, face, and neck"
"C822","Follicular lymphoma grade III, unspecified"
"C6950","Malignant neoplasm of unspecified lacrimal gland and duct"
"C752","Malignant neoplasm of craniopharyngeal duct"
"C8292","Follicular lymphoma, unspecified, intrathoracic lymph nodes"
"C6210","Malignant neoplasm of unspecified descended testis"
"C84Z1","Oth mature T/NK-cell lymph, nodes of head, face, and neck"
"C9502","Acute leukemia of unspecified cell type, in relapse"
"C9010","Plasma cell leukemia not having achieved remission"
"C519","Malignant neoplasm of vulva, unspecified"
"C08","Malignant neoplasm of other and unsp major salivary glands"
"C828","Other types of follicular lymphoma"
"C388","Malig neoplm of ovrlp sites of heart, mediastinum and pleura"
"C170","Malignant neoplasm of duodenum"
"C474","Malignant neoplasm of peripheral nerves of abdomen"
"C8203","Follicular lymphoma grade I, intra-abdominal lymph nodes"
"C569","Malignant neoplasm of unspecified ovary"
"C4002","Malig neoplasm of scapula and long bones of left upper limb"
"C919","Lymphoid leukemia, unspecified"
"C8113","Nodular sclerosis class Hodgkin lymphoma, intra-abd nodes"
"C6922","Malignant neoplasm of left retina"
"C9020","Extramedullary plasmacytoma not having achieved remission"
"C50011","Malignant neoplasm of nipple and areola, right female breast"
"C902","Extramedullary plasmacytoma"
"C661","Malignant neoplasm of right ureter"
"C9312","Chronic myelomonocytic leukemia, in relapse"
"C601","Malignant neoplasm of glans penis"
"C163","Malignant neoplasm of pyloric antrum"
"C831","Mantle cell lymphoma"
"C711","Malignant neoplasm of frontal lobe"
"C8314","Mantle cell lymphoma, lymph nodes of axilla and upper limb"
"C93","Monocytic leukemia"
"C92Z1","Other myeloid leukemia, in remission"
"C8522","Mediastnl (thymic) large B-cell lymphoma, intrathorac nodes"
"C473","Malignant neoplasm of peripheral nerves of thorax"
"C8396","Non-follic (diffuse) lymphoma, unsp, intrapelvic lymph nodes"
"C8124","Mix cellular class Hdgkn lymph, nodes of axla and upper limb"
"C251","Malignant neoplasm of body of pancreas"
"C49","Malignant neoplasm of other connective and soft tissue"
"C4720","Malig neoplasm of prph nerves of unsp lower limb, inc hip"
"C301","Malignant neoplasm of middle ear"
"C8335","Diffus large B-cell lymph, nodes of ing rgn and lower limb"
"C677","Malignant neoplasm of urachus"
"C8259","Diffuse folicl center lymph, extrnod and solid organ sites"
"C07","Malignant neoplasm of parotid gland"
"C674","Malignant neoplasm of posterior wall of bladder"
"C92Z","Other myeloid leukemia"
"C220","Liver cell carcinoma"
"C65","Malignant neoplasm of renal pelvis"
"C6942","Malignant neoplasm of left ciliary body"
"C8351","Lymphoblastic lymphoma, nodes of head, face, and neck"
"C3481","Malignant neoplasm of ovrlp sites of right bronchus and lung"
"C410","Malignant neoplasm of bones of skull and face"
"C8231","Foliclar lymphoma grade IIIa, nodes of head, face, and neck"
"C929","Myeloid leukemia, unspecified"
"C22","Malignant neoplasm of liver and intrahepatic bile ducts"
"C039","Malignant neoplasm of gum, unspecified"
"C933","Juvenile myelomonocytic leukemia"
"C062","Malignant neoplasm of retromolar area"
"C457","Mesothelioma of other sites"
"C50219","Malig neoplasm of upper-inner quadrant of unsp female breast"
"C8205","Foliclar lymph grade I, nodes of ing region and lower limb"
"C829","Follicular lymphoma, unspecified"
"C9241","Acute promyelocytic leukemia, in remission"
"C4312","Malignant melanoma of left eyelid, including canthus"
"C9480","Other specified leukemias not having achieved remission"
"C8583","Oth types of non-Hodgkin lymphoma, intra-abd lymph nodes"
